Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Premium 60/40 Sn Pb Tin Soldering Lead with Rosin 20g Low Melting Point","the substance needed for soldering iron",1,0.80,"https://store.roboticsbd.com/soldering-accessories-robotics-bangladesh/2612-premium-6040-sn-pb-tin-soldering-lead-with-rosin-20g-low-melting-point-robotics-bangladesh.html","RoboticsBD"
"Push Button Cap","for the sake of the fingers, gonna put them on top of the buttons",14,0.34,"https://store.roboticsbd.com/electronic-switches/1763-push-button-cap-robotics-bangladesh.html","RoboticsBD"
"60W Electric Soldering Iron","Robotics bd has policy that i need to purchase a minimum of 250tk(2.04usd) excluding tax. why not get one because i need it anyways in the project.",1,3.34,"https://store.roboticsbd.com/soldering-accessories-robotics-bangladesh/2618-60w-electric-soldering-iron-robotics-bangladesh.html","RoboticsBD"
"1K Ohm 1/4W Resistor Pack of 20","Resistor for led",1,0.12,"https://techshopbd.com/product/1k-ohm-14w-resistor-pack-of-20","TechShopBD"
"5mm Blue LED - Pack of 5","The led to show the controller status",1,0.04,"https://store.roboticsbd.com/led/1300-blue-led-5mmpack-of-5-robotics-bangladesh.html","RoboticsBD"
"Push Button 4 pin","Buttons for the controller",14,0.57,"https://store.roboticsbd.com/electronic-switches/1415-push-button-4-pin-robotics-bangladesh.html","RoboticsBD"
"Joystick 5 Pin Module For Arduino","Joysticks",2,1.39,"https://www.robotechbd.com/product/arduino/boards/joystick-5pin-module-for-arduino/","RobotechBD"
"Arduino Pro Micro Atmega32U4 5V 16MHz","the brain of the controller",1,5.58,"https://techshopbd.com/product/arduino-pro-micro-atmega32u4-5v-16mhz","TechShopBD"
